Index,appnumber,encrypting,renaiming,rebuilding,Strings Global number,Unicode number ,URL Number ,Affectation number ,Balise number ,Special strings number ,Call number,Class number ,Other Type String Number ,Permission number ,Number of Dangerous permission ,Number of sginature permission ,Other Permission number ,Services number ,Providers number ,Android API ,Dex number ,SystemArgs ,Custom Argument,Average size of class ,Intern attribute ,Extern attribute,Weighted Method per class ,Reponse for class ,Number of child ,Argument Type number ,Receivers Numbers ,Type
40,Banking_1791,1,1,0,5491,0,1,115,2,0,12,0,0,9,6,0,3,3,0,0,0,0,0,226.83333333333334,0,0,18.64007336084365,37.2801467216873,-0.6707932141219624,843,1,4
41,SMS_3966,1,1,0,663,0,0,7,2,0,0,0,0,19,6,2,11,1,0,0,0,0,0,43.142857142857146,0,0,11.542113323124044,23.084226646248087,-0.9532924961715161,131,8,1
42,Riskware_642,1,1,0,36060,8,154,1022,441,17,57,3,0,18,5,1,12,7,0,0,0,0,0,34.65217391304348,0,0,23.90995260663507,47.81990521327014,-1.0,9445,1,2
43,Banking_1209,1,1,0,32941,0,46,389,13,7,39,39,0,5,3,0,2,1,0,0,0,0,0,44.8125,0,0,20.024523160762943,40.049046321525886,3.310626702997275,8881,1,4
44,SMS_2552,1,1,0,310,0,0,1,2,0,2,0,0,23,13,1,9,1,0,0,0,0,0,176.5,0,0,11.073972602739726,22.147945205479452,-0.9952054794520548,25,1,1
45,Riskware_4137,1,1,0,7251,0,0,121,2,0,13,0,0,6,2,0,4,0,0,0,0,0,0,209.31034482758622,0,0,20.7,41.4,-1.0,1260,1,2
46,SMS_1817,1,1,0,621,0,3,3,1,0,0,33,0,10,4,0,6,0,0,0,0,0,0,95.66666666666667,0,0,11.814199395770393,23.628398791540786,-0.8957703927492447,86,1,1
47,SMS_3439,1,1,0,847,0,0,15,3,0,0,0,0,4,3,0,1,1,0,0,0,0,0,94.33333333333333,0,0,10.31763417305586,20.63526834611172,-0.9364731653888281,141,1,1
48,Riskware_867,1,1,0,36297,7,31,371,5,7,25,0,0,13,6,0,7,37,0,0,0,0,0,72.57692307692308,0,0,21.750998668442076,43.50199733688415,-1.0,15547,1,2
49,SMS_1447,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,33.75,0,0,12.682539682539682,25.365079365079364,-0.9380952380952381,210,1,1
50,SMS_786,1,1,0,654,0,0,2,3,0,0,0,0,17,7,2,8,1,0,0,0,0,0,43.0,0,0,10.877425944841676,21.75485188968335,-0.9959141981613892,121,6,1
51,SMS_1925,1,1,0,573,0,2,0,1,0,0,17,0,9,4,0,5,2,0,0,0,0,0,139.0,0,0,11.468274111675127,22.936548223350254,-0.9479695431472082,64,1,1
52,Riskware_3126,1,1,0,14,0,0,0,2,0,0,0,0,16,7,0,9,2,0,0,0,0,0,136.0,0,0,26.1869918699187,52.3739837398374,-1.0,16,1,2
53,SMS_2579,1,1,0,776,0,0,15,3,0,0,0,0,4,3,0,1,1,0,0,0,0,0,138.25,0,0,11.44005358338915,22.8801071667783,-0.9578030810448761,125,1,1
54,Riskware_481,1,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,15,0,0,0,0,0,4.0,0,0,21.524926686217007,43.049853372434015,-1.0,353,1,2
55,Adware_1291,1,1,0,6035,0,41,85,3,1,7,0,0,15,2,1,12,3,0,0,0,0,0,120.475,0,0,15.238434163701067,30.476868327402133,0.3701067615658363,1729,,3
56,Riskware_4160,1,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,16,0,0,0,0,0,4.0,0,0,26.416666666666668,52.833333333333336,-1.0,353,1,2
57,Riskware_72,1,1,0,16627,1,3,254,8,1,16,30,0,5,2,1,2,0,0,0,0,0,0,30.32,0,0,23.1581352833638,46.3162705667276,-1.0,4963,1,2
58,SMS_3207,1,1,0,781,0,0,2,2,0,0,0,0,13,6,1,6,0,0,0,0,0,0,10.666666666666666,0,0,10.962732919254659,21.925465838509318,-0.718944099378882,373,1,1
59,Banking_2006,1,1,0,9615,7,8,245,6,2,21,8,0,14,5,1,8,2,0,0,0,0,0,30.70967741935484,0,0,17.93980797636632,35.87961595273264,0.021048744460856722,1379,1,4
60,SMS_4663,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,45.714285714285715,0,0,11.564434845212382,23.128869690424764,-0.9359251259899208,210,8,1
61,Riskware_489,1,1,0,94,0,0,0,2,0,0,0,0,37,9,3,25,5,0,0,0,0,0,37.333333333333336,0,0,21.85918173168411,43.71836346336822,-1.0,372,1,2
62,SMS_4753,1,1,0,573,0,2,0,1,0,0,17,0,9,4,0,5,2,0,0,0,0,0,94.33333333333333,0,0,11.331532748143147,22.663065496286293,-0.9675894665766374,64,8,1
63,SMS_2513,1,1,0,573,0,2,0,1,0,0,17,0,9,4,0,5,2,0,0,0,0,0,76.33333333333333,0,0,11.083737024221453,22.167474048442905,-0.9557093425605536,64,1,1
64,Riskware_191,1,1,0,267,0,0,0,1,0,0,0,0,27,9,2,16,9,0,0,0,0,0,4.0,0,0,19.512102874432678,39.024205748865356,-1.0,50,1,2
65,Riskware_818,1,1,0,4920,0,2,137,4,7,3,0,0,3,1,0,2,1,0,0,0,0,0,19.35135135135135,0,0,24.02391304347826,48.04782608695652,-1.0,1069,1,2
66,Riskware_511,1,1,0,29488,7,23,407,5,6,31,0,0,10,5,0,5,3,0,0,0,0,0,24.806451612903224,0,0,21.791631084543127,43.583262169086254,-1.0,7842,1,2
67,Riskware_4138,1,1,0,121,0,0,0,1,0,0,0,0,39,12,2,25,16,0,0,0,0,0,4.0,0,0,25.414634146341463,50.829268292682926,-1.0,170,1,2
68,SMS_940,1,1,0,772,0,0,285,2,0,0,0,0,13,6,1,6,0,0,0,0,0,0,5.636363636363637,0,0,11.014912280701754,22.029824561403508,-0.9263157894736842,376,4,1
69,Riskware_2340,1,1,0,123,0,0,0,1,0,0,0,0,42,12,2,28,17,1,0,0,0,0,4.0,0,0,21.680473372781066,43.36094674556213,-1.0,86,1,2
70,SMS_2367,1,1,0,843,0,0,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,38.666666666666664,0,0,11.306392358559883,22.612784717119766,-0.9272593681116826,202,1,1
71,Adware_973,1,1,0,2292,0,0,67,4,0,3,0,0,8,2,1,5,2,0,0,0,0,0,468.8292682926829,0,0,18.066026410564227,36.132052821128454,-0.7262905162064826,334,1,3
72,SMS_4882,1,1,0,797,0,0,1,2,0,0,0,0,10,5,1,4,0,0,0,0,0,0,40.5,0,0,10.96629213483146,21.93258426966292,-0.8904494382022472,185,8,1
73,SMS_1722,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,40.5,0,0,11.532803180914513,23.065606361829026,-0.9264413518886679,210,1,1
74,Riskware_856,1,1,0,121,0,0,0,1,0,0,0,0,39,12,2,25,15,0,0,0,0,0,4.0,0,0,21.811239193083573,43.622478386167145,-1.0,603,1,2
75,SMS_3667,1,1,0,1388,0,0,13,2,0,0,0,0,15,7,1,7,2,0,0,0,0,0,29.23076923076923,0,0,11.110808356039964,22.22161671207993,-0.9046321525885559,415,1,1
76,Riskware_2892,1,1,0,123,0,0,0,1,0,0,0,0,42,11,3,28,14,0,0,0,0,0,120.0,0,0,26.337423312883434,52.67484662576687,-1.0,112,1,2
77,Banking_1452,1,1,0,4506,0,4,117,2,0,11,0,0,6,3,1,2,0,0,0,0,0,0,132.03125,0,0,19.691814946619218,39.383629893238435,-0.5288256227758007,833,1,4
78,Banking_2490,1,1,0,1966,0,3,4,2,5,3,0,0,5,1,0,4,0,0,0,0,0,0,12.934782608695652,0,0,16.542944785276074,33.08588957055215,-0.7929447852760736,391,1,4
79,Banking_1897,1,1,0,7626,0,2,133,3,0,13,0,0,6,5,0,1,1,0,0,0,0,0,153.12820512820514,0,0,18.402618657937808,36.805237315875615,0.3617021276595745,3651,1,4
80,SMS_2119,1,1,0,851,0,0,252,2,0,0,0,0,21,8,2,11,0,0,0,0,0,0,11.5,0,0,11.144058885383807,22.288117770767613,-0.7381703470031545,434,1,1
81,Riskware_4328,1,1,0,16627,1,3,254,8,1,16,30,0,7,3,0,4,0,0,0,0,0,0,33.75,0,0,36.74545454545454,73.49090909090908,-1.0,4963,1,2
82,Riskware_2493,1,1,0,108,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,266.0,0,0,24.924214417744917,49.848428835489834,-1.0,17,1,2
83,SMS_4137,1,1,0,781,0,0,2,2,0,0,0,0,13,6,1,6,0,0,0,0,0,0,9.714285714285714,0,0,11.962369337979094,23.92473867595819,-0.8529616724738676,373,8,1
84,SMS_536,1,1,0,813,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,40.5,0,0,11.5748031496063,23.1496062992126,-0.9401574803149606,175,6,1
85,Adware_283,1,1,0,1995,0,25,36,2,1,6,23,0,8,3,0,5,1,0,0,0,0,0,119.78260869565217,0,0,16.30511060259344,32.61022120518688,-0.8604118993135011,240,,3
86,Riskware_3939,0,1,0,14727,0,1,132,2,0,17,0,0,1,0,0,1,0,0,0,0,0,0,224.67857142857142,0,0,36.7906976744186,73.5813953488372,-1.0,3748,1,2
87,SMS_1506,0,1,0,675,0,0,13,1,0,0,0,0,6,3,1,2,1,0,0,0,0,0,253.5,0,0,12.743055555555555,25.48611111111111,-0.9861111111111112,88,1,1
88,SMS_504,1,1,0,142,0,0,0,1,0,0,0,0,7,4,0,3,0,0,0,0,0,0,66.4,0,0,11.757522123893805,23.51504424778761,-0.9893805309734514,33,6,1
89,Riskware_1055,1,1,0,8649,1,19,803,5,4,44,42,0,35,12,2,21,9,0,0,0,0,0,8.581395348837209,0,0,20.285968028419184,40.57193605683837,0.07992895204262877,1508,1,2
90,Adware_501,1,1,0,6916,0,5,138,2,1,37,5,0,8,2,1,5,4,0,0,0,0,0,88.3225806451613,0,0,15.358071920428461,30.716143840856923,-0.4254016832440704,1064,,3
91,SMS_3870,1,1,0,1394,0,1,11,2,0,0,0,0,15,7,1,7,3,0,0,0,0,0,12.142857142857142,0,0,11.182761372705507,22.365522745411013,-0.9138068635275339,275,8,1
92,Riskware_2276,1,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,16,0,0,0,0,0,4.0,0,0,20.50971322849214,41.01942645698428,-0.8501387604070305,353,1,2
93,SMS_2897,1,1,0,847,0,0,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,38.666666666666664,0,0,11.980310262529834,23.960620525059667,-0.9403341288782816,203,1,1
94,SMS_563,0,1,0,147,0,0,0,2,0,0,0,0,28,14,2,12,14,0,0,0,0,0,120.0,0,0,11.413199426111909,22.826398852223818,-0.9813486370157819,19,6,1
95,Riskware_1637,1,1,0,16405,7,79,506,7,4,26,15,0,39,11,3,25,10,0,0,0,0,0,45.06666666666667,0,0,19.574141709276844,39.14828341855369,-0.9919649379108838,4063,1,2
96,SMS_4329,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,33.75,0,0,11.060142711518859,22.120285423037718,-0.90927624872579,207,8,1
97,Banking_1786,1,1,0,306,0,0,0,1,0,0,0,0,20,10,1,9,5,0,0,0,0,0,0.0,0,0,18.691386457853525,37.38277291570705,-0.9792722247812068,49,1,4
98,SMS_1004,1,1,0,776,0,0,15,3,0,0,0,0,4,3,0,1,1,0,0,0,0,0,157.28571428571428,0,0,9.73913043478261,19.47826086956522,-1.0,125,1,1
99,SMS_4096,0,1,0,568,0,0,0,2,0,0,0,0,4,3,0,1,0,0,0,0,0,0,61.2,0,0,12.079512893982807,24.159025787965614,-0.9620343839541547,116,8,1
100,SMS_1507,1,1,0,573,0,2,0,1,0,0,17,0,9,4,0,5,2,0,0,0,0,0,94.33333333333333,0,0,20.487354085603112,40.974708171206224,-0.933852140077821,64,1,1
101,SMS_1162,1,1,0,927,0,2,3,2,0,0,0,0,13,7,1,5,1,0,0,0,0,0,77.22222222222223,0,0,10.296015180265655,20.59203036053131,-0.8918406072106262,273,1,1
102,SMS_4007,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,45.714285714285715,0,0,12.114306784660767,24.228613569321535,-0.9343657817109144,210,8,1
103,SMS_3979,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,40.5,0,0,11.949815498154981,23.899630996309963,-0.9343173431734317,210,8,1
104,SMS_4247,1,1,0,654,0,0,2,3,0,0,0,0,17,7,2,8,1,0,0,0,0,0,31.375,0,0,12.050771208226221,24.101542416452443,-0.9395886889460154,121,8,1
105,SMS_2582,1,1,0,934,0,2,3,2,0,0,0,0,13,7,1,5,1,0,0,0,0,0,70.0,0,0,11.438713998660415,22.87742799732083,-0.927662424648359,272,1,1
106,Adware_732,1,1,0,6116,0,13,144,2,2,46,1,0,42,9,3,30,3,0,0,0,0,0,38.12765957446808,0,0,18.315020161290324,36.63004032258065,-0.6199596774193549,913,,3
107,SMS_4450,0,1,0,595,0,0,0,2,0,0,0,0,5,4,0,1,0,0,0,0,0,0,79.0,0,0,10.588340807174887,21.176681614349775,-0.9614349775784753,119,8,1
108,SMS_4591,1,1,0,90,0,0,0,1,0,0,0,0,21,7,3,11,0,0,0,0,0,0,0.0,0,0,11.112213740458015,22.22442748091603,-0.9763358778625955,39,8,1
109,Adware_1221,1,1,0,1859,0,8,16,2,2,0,1,0,11,4,0,7,1,0,0,0,0,0,472.1666666666667,0,0,16.29605826906598,32.59211653813196,-0.9198800342759211,199,,3
110,Riskware_3288,1,1,0,123,0,0,0,1,0,0,0,0,42,12,2,28,17,1,0,0,0,0,4.0,0,0,21.933618843683085,43.86723768736617,-1.0,86,1,2
111,SMS_4576,1,1,0,594,0,0,0,2,0,0,0,0,5,4,0,1,0,0,0,0,0,0,97.0,0,0,10.88958496476116,21.77916992952232,-0.966327329678935,119,8,1
112,Adware_735,1,1,0,10123,0,61,87,18,5,9,97,0,5,3,0,2,0,0,0,0,0,0,146.71052631578948,0,0,18.160349854227405,36.32069970845481,-0.6997084548104956,2446,,3
113,SMS_2036,1,1,0,1394,0,1,11,2,0,0,0,0,15,7,1,7,3,0,0,0,0,0,10.555555555555555,0,0,20.434108527131784,40.86821705426357,-0.8372093023255814,275,1,1
114,Riskware_4093,1,1,0,121,0,0,0,1,0,0,0,0,39,12,2,25,15,0,0,0,0,0,136.0,0,0,24.513020833333332,49.026041666666664,-1.0,612,1,2
115,Adware_1104,1,1,0,3928,0,30,215,3,1,11,73,0,13,3,2,8,0,0,0,0,0,0,117.51428571428572,0,0,17.004901960784313,34.009803921568626,0.014705882352941176,831,,3
116,Riskware_1370,1,1,0,123,0,0,0,1,0,0,0,0,42,12,2,28,17,1,0,0,0,0,4.0,0,0,19.232633279483036,38.46526655896607,-1.0,86,1,2
117,Adware_1199,1,1,0,1926,0,8,42,3,1,0,0,0,9,2,0,7,3,0,0,0,0,0,343.2068965517241,0,0,15.402078337330137,30.804156674660273,-0.885691446842526,272,,3
118,SMS_4621,1,1,0,332,0,0,0,2,0,0,0,0,6,4,0,2,1,0,0,0,0,0,6.5,0,0,11.4,22.8,-0.9691176470588235,14,8,1
119,Riskware_1534,1,1,0,121,0,0,0,1,0,0,0,0,39,12,2,25,15,0,0,0,0,0,4.0,0,0,20.046752172114193,40.093504344228386,-0.9995862639635912,612,1,2
120,SMS_1041,1,1,0,592,0,0,1,2,0,1,23,0,7,3,0,4,1,0,0,0,0,0,47.6,0,0,8.652694610778443,17.305389221556887,-0.9760479041916168,98,1,1
121,Banking_1173,1,1,0,14076,0,8,105,4,4,7,0,0,33,12,0,21,5,0,1,0,0,0,10.107142857142858,0,0,19.864779874213838,39.729559748427675,-0.2562893081761006,2334,1,4
122,Riskware_2191,1,1,0,121,0,0,0,1,0,0,0,0,39,12,2,25,16,0,0,0,0,0,4.0,0,0,24.217391304347824,48.43478260869565,-1.0,170,1,2
123,Banking_10,1,1,0,4482,0,14,127,2,1,11,0,0,23,8,1,14,2,0,0,0,0,0,136.125,0,0,17.135135135135137,34.270270270270274,-1.0,683,1,4
124,SMS_3993,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,45.57142857142857,0,0,11.949077490774908,23.898154981549816,-0.9343173431734317,210,8,1
125,Riskware_2927,1,1,0,7569,0,9,167,5,1,161,3,0,29,9,3,17,4,0,0,0,0,0,28.724137931034484,0,0,24.37957610789981,48.75915221579962,-1.0,724,1,2
126,SMS_2542,1,1,0,847,0,0,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,48.0,0,0,11.077397260273973,22.154794520547945,-0.9315068493150684,203,1,1
127,SMS_4151,1,1,0,2990,0,2,96,2,0,11,0,0,16,5,0,11,0,0,0,0,0,0,524.88,0,0,11.961725817675713,23.923451635351427,-0.06402226861517049,670,8,1
128,SMS_3763,1,1,0,382,0,0,0,2,0,0,0,0,4,2,0,2,0,0,0,0,0,0,10.0,0,0,10.84974533106961,21.69949066213922,-0.9804753820033956,62,1,1
129,SMS_2760,1,1,0,827,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,45.57142857142857,0,0,11.98565190268247,23.97130380536494,-0.9519650655021834,210,1,1
130,Banking_1308,1,1,0,5469,0,2,137,3,0,13,0,0,6,5,0,1,1,0,0,0,0,0,155.75,0,0,19.87525562372188,39.75051124744376,-0.07157464212678936,1461,1,4
131,Adware_665,1,1,0,6786,0,7,178,7,1,19,1,0,16,5,1,10,0,0,0,0,0,0,205.5483870967742,0,0,17.928074245939676,35.85614849187935,-0.37470997679814383,813,,3
132,Riskware_671,1,1,0,121,0,0,0,1,0,0,0,0,39,12,2,25,16,0,0,0,0,0,4.0,0,0,23.12953995157385,46.2590799031477,-1.0,170,1,2
133,SMS_1494,1,1,0,851,0,0,252,2,0,0,0,0,21,8,2,11,0,0,0,0,0,0,10.25,0,0,12.822443181818182,25.644886363636363,-0.8082386363636364,434,1,1
134,SMS_3074,1,1,0,414,0,0,0,1,0,0,0,0,10,4,1,5,0,0,0,0,0,0,151.5,0,0,11.71806167400881,23.43612334801762,-0.9889867841409692,39,1,1
135,Riskware_27,1,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,16,0,0,0,0,0,4.0,0,0,19.90633763320247,39.81267526640494,-1.0,353,1,2
136,SMS_3657,1,1,0,573,0,2,0,1,0,0,0,0,9,4,0,5,2,0,0,0,0,0,94.33333333333333,0,0,11.096715328467154,22.193430656934307,-0.9434306569343066,64,1,1
137,SMS_672,0,1,0,788,0,0,0,2,0,0,0,0,10,5,1,4,0,0,0,0,0,0,45.714285714285715,0,0,10.94390243902439,21.88780487804878,-0.926829268292683,191,6,1
138,SMS_2414,1,1,0,560,0,0,4,3,0,0,0,0,4,3,0,1,0,0,0,0,0,0,50.6,0,0,11.1954513148543,22.3909026297086,-0.9793887704335466,82,1,1
139,Banking_1594,1,1,0,18180,0,12,220,22,3,12,0,0,7,4,0,3,0,0,0,0,0,0,82.5925925925926,0,0,19.214772727272727,38.429545454545455,0.8005681818181818,3149,1,4
140,Adware_1228,1,1,0,4471,0,6,99,3,1,25,0,0,8,2,1,5,2,0,0,0,0,0,253.0857142857143,0,0,15.8284561049445,31.656912209889,0.19475277497477295,660,,3
141,Riskware_1290,1,1,0,3561,1,2,121,4,2,12,0,0,5,4,0,1,0,0,0,0,0,0,29.6,0,0,20.25921052631579,40.51842105263158,-1.0,520,1,2
142,Riskware_2734,1,1,0,255,0,0,0,2,0,0,0,0,84,10,3,71,13,2,0,0,0,0,73.0,0,0,19.56988082340195,39.1397616468039,-1.0,333,1,2
143,SMS_3784,1,1,0,1394,0,1,11,2,0,0,0,0,15,7,1,7,3,0,0,0,0,0,12.285714285714286,0,0,11.135338345864662,22.270676691729324,-0.9097744360902256,275,8,1
